,Subject ,Items,Quantity,Comments
0,Art,2B pencils,2.0,
1,Art,A3 visual diary,1.0,
2,Art,eraser,1.0,
3,Art,pack of coloured pencils,1.0,(optional but recommended)
4,Basic Requirements,HB pencils,2.0,
5,Basic Requirements,pack of coloured pencils,1.0,
6,Basic Requirements,clear plastic ruler,1.0,
7,Basic Requirements,large glue stick,1.0,
8,Basic Requirements,"Blue, Black & Red ballpoint pen",1.0,
9,Basic Requirements,pencil case,1.0,
10,Basic Requirements,set of earphones,1.0,
11,Basic Requirements,Highlighter,1.0,
12,Basic Requirements,eraser,1.0,
13,Basic Requirements,loose leaf refill pad 7mm ruled 100 pages,1.0,
14,Dance,A4 display book 20 pockets,1.0,
15,Dance,loose leaf refill,1.0,
16,Digital Technology,8GB memory stick,1.0,
17,Drama,,,Only basic stationery required (see above)
18,English,small A4 ring binder,1.0,
19,English,set of dividers,1.0,
20,English,loose leaf refill,1.0,
21,English,1B5 exercise book,1.0,
22,Enrichment,A4 display book 20 pockets,1.0,
23,Fabric Technology,A4 visual diary,1.0,
24,Food & Nutrition,A4 display book 20 pockets,1.0,
25,Food & Nutrition,14B8 loose leaf refill 7mm,1.0,
26,French,A4 display book 40 pockets,1.0,
27,Graphics,,,No stationery required
28,Maths,,,Homework Book (approximately) $17 available to purchase from the school office
29,Maths,1J5 exercise book 5mm quad,1.0,
30,Maths,Casio FX-82AU Plus II Scientific calculator,1.0,
31,Music,1B5 exercise book 7mm ruled,1.0,
32,Physical Education & Health,"Clean sports shoes, MHS PE shirt & black shorts",1.0,
33,Physical Education & Health,Loose leaf refill pad,1.0,
34,Physical Education & Health,A4 display book 40 pockets,1.0,
35,Science,1B5 exercise book,2.0,
36,Science X10,A4 display book 20 pockets,1.0,
37,Social Studies,1B8 exercise book,1.0,
38,Sport Performance,A4 display book 30 pockets,1.0,
39,Sport Performance,loose leaf refill pad,1.0,
40,Te Reo Maori,1B5 exercise book,1.0,
41,Wood or Metal Technology,Blue ballpoint pen,1.0,
42,Wood or Metal Technology,HB pencil,1.0,
