,Subject ,Items,Quantity,Comments
0,Accounting,,,Workbook can be ordered at school office
1,Accounting,A4 ringbinder,1.0,
2,Accounting,14R8 A4 treble cash loose leaf refill,1.0,
3,Accounting,set of dividers,1.0,
4,Accounting,14B5 loose leaf refill 7mm,1.0,
5,AMP,,,All Students (previously HAT period)
6,AMP, A4 display book 20 pockets,1.0,
7,Basic Requirements,HB pencils,2.0,
8,Basic Requirements,pack of coloured pencils,1.0,
9,Basic Requirements,clear plastic ruler,1.0,
10,Basic Requirements,large glue stick,1.0,
11,Basic Requirements,"blue, 1 x black & 1 x red ballpoint pen",1.0,
12,Basic Requirements,pencil case,1.0,
13,Basic Requirements,set of earphones,1.0,
14,Basic Requirements,Highlighter,1.0,
15,Basic Requirements,eraser,1.0,
16,Basic Requirements,14B5 loose leaf refill pad 7mm ruled 100 pages,1.0,
17,Building,HB pencil,1.0,
18,Building,blue ballpoint pen,1.0,
19,Computer Studies,8GB memory stick,1.0,
20,Correspondence,,,Own device recommended
21,Correspondence,A4 display book 20 pockets,1.0,
22,Dance,A4 display book 20 pockets,1.0,
23,Dance,14B5 loose leaf refill 7mm,1.0,
24,Dance,1B5 exercise book,1.0,
25,Digital Technology,8GB memory stick,,
26,Drama,,,To be decided in class 2017
27,English,small A4 ring binder,1.0,
28,English,set of dividers,1.0,
29,English,loose leaf refill,1.0,
30,Fabric Technology,,,Please provide your own sewing thread and fabric
31,Fabric Technology,mechanical pencil & lead,1.0,
32,Fabric Technology,A4 visual diary,1.0,
33,Fabric Technology,large glue stick,1.0,
34,Fabric Technology,A4 display book 20 pockets,1.0,
35,Food & Nutrition,A4 ringbinder,1.0,
36,Food & Nutrition,loose leaf refill,1.0,
37,Food & Nutrition,set of dividers,1.0,
38,French,A4 display book 40 pockets,1.0,
39,Geography,A4 ringbinder,1.0,
40,Geography,set of dividers,1.0,
41,Geography,Loose leaf refill,1.0,
42,Graphics,eraser,1.0,
43,Graphics,compass set,1.0,
44,Graphics,"5H, HB & 2B pencils",1.0,
45,Graphics,pack of 12 watercolour pencils,1.0,
46,Graphics,A3 unlined pad,1.0,
47,Graphics,45° and 30-60° set square,,
48,Hard Materials (Wood & Metal),HB pencil,1.0,
49,Hard Materials (Wood & Metal),3H pencil,1.0,
50,Hard Materials (Wood & Metal),ballpoint pen,1.0,
51,Health,,,Workbook ordered at school office
52,Health,A4 display book 40 pockets & loose leaf refill,1.0,Choose either
53,Health,A4 ringbinder & loose leaf refill,1.0,Choose either
54,History,A4 ringbinder,1.0,
55,History,set of dividers,1.0,
56,History,14B5 loose leaf refill 7mm ruled,1.0,
57,Horticulture,1B5 exercise book,1.0,Choose either
58,Horticulture,A4 display book 20 pockets & loose leaf refill,1.0,Choose either
59,Integrated Studies,A4 ringbinder,,
60,Integrated Studies,set of dividers,,
61,Maths,,,Homework Book for 101 course (approximately) $20 order at school office
62,Maths,,,Homework Book for 102 course (approximately) $13 order at school office
63,Maths,1J5 exercise book 5mm quad,2.0,
64,Maths,Casio FX-82AU Plus II Scientific calculator,1.0,
65,Media Studies,A4 ringbinder,1.0,
66,Media Studies,set of dividers,1.0,
67,Media Studies,loose leaf refill,1.0,
68,Media Studies,8GB external flash drive (named),1.0,
69,Music,A4 ringbinder,1.0,
70,Music,14M5 music loose leaf refill,1.0,
71,Music,14B5 loose leaf refill,1.0,
72,Outdoor Education,A4 ringbinder,1.0,
73,Outdoor Education,loose leaf refill,1.0,
74,Physical Education,A4 ringbinder & loose leaf refill,1.0,Choose either
75,Physical Education,A4 display book 20 pockets & loose leaf refill,1.0,Choose either
76,Science,calculator (not scientific),1.0,
77,Science,1B5 exercise book 7mm ruled,1.0,Choose either
78,Science,A4 ringbinder & loose leaf refill,1.0,Choose either
79,SPEC,,,Workbook available to order at school
80,Sport & Recreation,A4 display book 20 pockets,1.0,
81,Sport & Recreation,loose leaf refill,1.0,
82,Te Reo Maori,1B5 exercise book 7mm ruled,1.0,
83,Visual Art,A3 drawing wallet or hard case,1.0,
84,Visual Art,4B pencil,1.0,
85,Visual Art,2B pencils,2.0,
86,Visual Art,A3 spiral bound visual diary,1.0,
87,Visual Art,Set of small paint brushes,1.0,
